IO_Tags,,,,,,,,
标签名,目标服务器标签名,描述,单位,类型,驱动标签名,压缩方式,压缩精度,采集值-工程值转换
ID_0033_JZ,CP_0033_JZ,轻大袋1#机称净重,kg,float32,,,,
ID_0033_CNT,CP_0033_CNT,轻大袋1#机称袋数,d,int32,,,,
ID_0033_SD,CP_0033_SD,轻大袋1#机称设定值,kg,float32,,,,
ID_0034_JZ,CP_0034_JZ,轻大袋2#机称净重,kg,float32,,,,
ID_0034_CNT,CP_0034_CNT,轻大袋2#机称袋数,d,int32,,,,
ID_0034_SD,CP_0034_SD,轻大袋2#机称设定值,kg,float32,,,,
ID_0035_JZ,CP_0035_JZ,重大袋3#机称净重,kg,float32,,,,
ID_0035_CNT,CP_0035_CNT,重大袋3#机称袋数,d,int32,,,,
ID_0035_SD,CP_0035_SD,重大袋3#机称设定值,kg,float32,,,,
ID_0036_JZ,CP_0036_JZ,重大袋4#机称净重,kg,float32,,,,
ID_0036_CNT,CP_0036_CNT,重大袋4#机称袋数,d,int32,,,,
ID_0036_SD,CP_0036_SD,重大袋4#机称设定值,kg,float32,,,,
