IO_Tags,,,,,,,,
标签名,目标服务器标签名,描述,单位,类型,驱动标签名,压缩方式,压缩精度,采集值-工程值转换
ID_0023_JZ,CP_0023_JZ,重小1#机_1#称净重,kg,float32,,,,
ID_0023_CNT,CP_0023_CNT,重小1#机_1#称袋数,d,int32,,,,
ID_0023_SD,CP_0023_SD,重小1#机_1#称设定值,kg,float32,,,,
ID_0024_JZ,CP_0024_JZ,重小1#机_2#称净重,kg,float32,,,,
ID_0024_CNT,CP_0024_CNT,重小1#机_2#称袋数,d,int32,,,,
ID_0024_SD,CP_0024_SD,重小1#机_2#称设定值,kg,float32,,,,
ID_0025_JZ,CP_0025_JZ,重小1#机_3#称净重,kg,float32,,,,
ID_0025_CNT,CP_0025_CNT,重小1#机_3#称袋数,d,int32,,,,
ID_0025_SD,CP_0025_SD,重小1#机_3#称设定值,kg,float32,,,,
ID_0030_JZ,CP_0030_JZ,重小4#机_1#称净重,kg,float32,,,,
ID_0030_CNT,CP_0030_CNT,重小4#机_1#称袋数,d,int32,,,,
ID_0030_SD,CP_0030_SD,重小4#机_1#称设定值,kg,float32,,,,
