IO_Tags,,,,,,,,
标签名,目标服务器标签名,描述,单位,类型,驱动标签名,压缩方式,压缩精度,采集值-工程值转换
ID_0031_JZ,CP_0031_JZ,重小4#机_2#秤称净重,kg,float32,,,,
ID_0031_CNT,CP_0031_CNT,重小4#机_2#秤称袋数,d,int32,,,,
ID_0031_SD,CP_0031_SD,重小4#机_2#秤称设定值,kg,float32,,,,
ID_0032_JZ,CP_0032_JZ,重小4#机_3#秤称净重,kg,float32,,,,
ID_0032_CNT,CP_0032_CNT,重小4#机_3#秤称袋数,d,int32,,,,
ID_0032_SD,CP_0032_SD,重小4#机_3#秤称设定值,kg,float32,,,,
ID_0037_JZ,CP_0037_JZ,轻大袋7#机称净重,kg,float32,,,,
ID_0037_CNT,CP_0037_CNT,轻大袋7#机称袋数,d,int32,,,,
ID_0037_SD,CP_0037_SD,轻大袋7#机称设定值,kg,float32,,,,
ID_0038_JZ,CP_0038_JZ,轻大袋8#机称净重,kg,float32,,,,
ID_0038_CNT,CP_0038_CNT,轻大袋8#机称袋数,d,int32,,,,
ID_0038_SD,CP_0038_SD,轻大袋8#机称设定值,kg,float32,,,,
