IO_Tags,,,,,,,,
标签名,目标服务器标签名,描述,单位,类型,驱动标签名,压缩方式,压缩精度,采集值-工程值转换
ID_0021_JZ,CP_0021_JZ,新重大5#称净重,kg,float32,,,,
ID_0021_CNT,CP_0021_CNT,新重大5#机称袋数,d,int32,,,,
ID_0021_SD,CP_0021_SD,新重大5#机称设定值,kg,float32,,,,
ID_0022_JZ,CP_0022_JZ,新重大6#机称净重,kg,float32,,,,
ID_0022_CNT,CP_0022_CNT,新重大6#机称袋数,d,int32,,,,
ID_0022_SD,CP_0022_SD,新重大6#机称设定值,kg,float32,,,,
