F701Drv,,,,,
ID,标签名,描述,单位,类型,备注
ID_0009_JZ,CP_0009_JZ,轻小4#机_1#秤净重,kg,float32,
ID_0009_CNT,CP_0009_CNT,轻小4#机_1#秤袋数,d,int32,
ID_0009_SD,CP_0009_SD,轻小4#机_1#秤设定值,kg,float32,
ID_0010_JZ,CP_0010_JZ,轻小4#机_2#秤净重,kg,float32,
ID_0010_CNT,CP_0010_CNT,轻小4#机_2#秤袋数,d,int32,
ID_0010_SD,CP_0010_SD,轻小4#机_2#秤设定值,kg,float32,
